Subject,Exercise,View,best_shift,best_shift_unique_value,best_shift_median
6,Lateral arm raise,Side,"[3.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]","{2.0: 4, 3.0: 11, 5.0: 1}",3.0
6,Leg extension crunch,Frontal,"[-15.0, -15.0, -15.0, -15.0, -14.0, -14.0, -15.0, -15.0, -15.0, -13.0, -15.0, -15.0, -15.0, -15.0, -15.0, -14.0]","{-15.0: 12, -14.0: 3, -13.0: 1}",-15.0
6,Leg extension crunch,Side,"[-10.0, -10.0, -9.0, -10.0, -9.0, -9.0, -9.0, -9.0, -9.0, -7.0, -10.0, -10.0, -10.0, -10.0, -9.0, -9.0]","{-7.0: 1, -10.0: 7, -9.0: 8}",-9.0
6,Reverse fly,Frontal,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0]","{4.0: 5, 5.0: 10, 7.0: 1}",5.0
6,Reverse fly,Side,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 8.0, 6.0, 5.0, 6.0, 5.0, 6.0, 6.0]","{8.0: 1, 5.0: 2, 6.0: 11, 7.0: 2}",6.0
6,Side squat,Frontal,"[-4.0, -5.0, -3.0, -4.0, -4.0, -4.0, -5.0, -4.0, -4.0, -3.0, -6.0, -38.0, -8.0, -5.0, -4.0, -4.0]","{-6.0: 1, -8.0: 1, -38.0: 1, -5.0: 3, -4.0: 8, -3.0: 2}",-4.0
6,Side squat,Side,"[-5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -6.0, -6.0, -6.0, -4.0, -5.0, -5.0, -6.0, -6.0, -5.0, -5.0]","{-6.0: 5, -5.0: 9, -4.0: 2}",-5.0
6,Single leg deadlift,Frontal,"[-13.0, -13.0, -13.0, -13.0, -13.0, -12.0, -13.0, -13.0, -13.0, -11.0, -12.0, -13.0, -11.0, -14.0, -13.0, -13.0]","{-14.0: 1, -13.0: 11, -12.0: 2, -11.0: 2}",-13.0
6,Single leg deadlift,Side,"[-14.0, -14.0, -15.0, -14.0, -14.0, -14.0, -14.0, -16.0, -16.0, -12.0, -15.0, -15.0, -14.0, -15.0, -14.0, -14.0]","{-16.0: 2, -15.0: 4, -14.0: 9, -12.0: 1}",-14.0
6,Squat,Frontal,"[11.0, 11.0, 58.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 13.0, -22.0, -32.0, 5.0, 10.0, 11.0, 11.0]","{-32.0: 1, 5.0: 1, -22.0: 1, 11.0: 10, 10.0: 1, 13.0: 1, 58.0: 1}",11.0
6,Squat,Side,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, -1.0, 0.0, -1.0, -1.0, 0.0, 0.0]","{0.0: 11, 1.0: 1, 2.0: 1, -1.0: 3}",0.0
7,Front lunge,Frontal,"[-1.0, -1.0, -1.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -3.0, -2.0, -1.0, -2.0, -1.0, -1.0]","{1.0: 1, -3.0: 1, -1.0: 11, -2.0: 3}",-1.0
7,Front lunge,Side,"[-3.0, -4.0, -3.0, -3.0, -3.0, -2.0, -3.0, -3.0, -3.0, -2.0, -3.0, -4.0, -4.0, -4.0, -3.0, -3.0]","{-4.0: 4, -3.0: 10, -2.0: 2}",-3.0
7,Jumping jacks,Frontal,"[4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 6.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0]","{3.0: 2, 4.0: 12, 5.0: 1, 6.0: 1}",4.0
7,Jumping jacks,Side,"[6.0, 6.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 8.0, 5.0, 5.0, 5.0, 5.0, 6.0, 6.0]","{8.0: 1, 5.0: 6, 6.0: 9}",6.0
7,Lateral arm raise,Frontal,"[13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 15.0, 13.0, 12.0, 13.0, 12.0, 13.0, 13.0]","{12.0: 2, 13.0: 13, 15.0: 1}",13.0
7,Lateral arm raise,Side,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0]","{4.0: 3, 5.0: 12, 7.0: 1}",5.0
7,Leg extension crunch,Frontal,"[10.0, 10.0, 9.0, 10.0, 10.0, 11.0, 10.0, 10.0, 10.0, 12.0, 10.0, 10.0, 15.0, 9.0, 10.0, 10.0]","{9.0: 2, 10.0: 11, 11.0: 1, 12.0: 1, 15.0: 1}",10.0
7,Leg extension crunch,Side,"[-2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -2.0, -2.0, -2.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 1, -2.0: 14}",-2.0
7,Reverse fly,Frontal,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]","{2.0: 4, 3.0: 11, 5.0: 1}",3.0
7,Reverse fly,Side,"[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0]","{1.0: 8, 2.0: 7, 4.0: 1}",1.5
7,Side squat,Frontal,"[1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 3.0, 1.0, 1.0, -1.0, 0.0, 1.0, 1.0]","{0.0: 2, 1.0: 11, 2.0: 1, 3.0: 1, -1.0: 1}",1.0
7,Side squat,Side,"[-4.0, -4.0, -3.0, -4.0, -4.0, -3.0, -4.0, -4.0, -4.0, -2.0, -4.0, -4.0, -4.0, -5.0, -4.0, -4.0]","{-5.0: 1, -4.0: 12, -3.0: 2, -2.0: 1}",-4.0
7,Single leg deadlift,Frontal,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
7,Single leg deadlift,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
7,Squat,Frontal,"[-6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -6.0, -4.0, -5.0, 4.0, -10.0, -7.0, -6.0, -6.0]","{4.0: 1, -10.0: 1, -7.0: 1, -6.0: 11, -5.0: 1, -4.0: 1}",-6.0
7,Squat,Side,"[-2.0, -2.0, -3.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -2.0, -3.0, -3.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 4, -2.0: 11}",-2.0
8,Front lunge,Frontal,"[11.0, 11.0, 11.0, 11.0, 11.0, 10.0, 11.0, 11.0, 11.0, 13.0, 11.0, 10.0, 11.0, 10.0, 11.0, 11.0]","{10.0: 3, 11.0: 12, 13.0: 1}",11.0
8,Front lunge,Side,"[19.0, 19.0, 19.0, 20.0, 19.0, 20.0, 19.0, 19.0, 19.0, 21.0, 19.0, 19.0, 19.0, 18.0, 19.0, 20.0]","{18.0: 1, 19.0: 11, 20.0: 3, 21.0: 1}",19.0
8,Jumping jacks,Frontal,"[7.0, 7.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 9.0, 7.0, 6.0, 6.0, 6.0, 7.0, 7.0]","{9.0: 1, 6.0: 4, 7.0: 11}",7.0
8,Jumping jacks,Side,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0]","{4.0: 4, 5.0: 11, 7.0: 1}",5.0
8,Lateral arm raise,Frontal,"[52.0, 52.0, 51.0, 52.0, 52.0, 52.0, 52.0, 52.0, 52.0, 54.0, 51.0, 51.0, 51.0, 51.0, 52.0, 52.0]","{51.0: 5, 52.0: 10, 54.0: 1}",52.0
8,Lateral arm raise,Side,"[50.0, 50.0, 50.0, 50.0, 50.0, 51.0, 50.0, 50.0, 50.0, 52.0, 50.0, 50.0, 50.0, 49.0, 50.0, 51.0]","{49.0: 1, 50.0: 12, 51.0: 2, 52.0: 1}",50.0
8,Leg extension crunch,Frontal,"[3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 2.0, 3.0, 4.0]","{2.0: 1, 3.0: 12, 4.0: 2, 5.0: 1}",3.0
